,DatGeracaoConjuntoDados,NomAgente,IdeEmpresaProponenteProjeto,DscCodProjeto,DscTituloProjeto,DscTipologia,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,DscObjetivo,DscJustificativa,DatInicioProjeto,DatConclusaoProjeto,DscMetodologiaMv,Score,Address,Latitude,Longitude,Estado,Capital
0,2024-04-01,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S/A.,693,PE-00380-0009/2006,Ind - CVRD,Industrial,797.58,,2370.0,356.0,,Diagnóstico Energético.,2005-01-01,2006-12-31,,10.0,"EDP - Espírito Santo Distribuição de Energia S. A., 14, Rua Sergipe, Centro, Mucurici, Região Geográfica Imediata de São Mateus, Região Geográfica Intermediária de São Mateus, Espírito Santo, Região Sudeste, 29880-000, Brasil",-18.0946619,-40.5178891,Espírito Santo,
1,2024-04-01,COMPANHIA PAULISTA DE FORÇA E LUZ,1559,PE-00063-0058/2005,Educacional,Educacional,111250.0,,126000.0,3738.0,,,2004-01-01,2005-12-31,,4.045373755840963,"Companhia Paulista de Força e Luz, Avenida Sete de Setembro, Vila Pavani, Nova Granada, Região Imediata de São José do Rio Preto, Região Metropolitana de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15440-000, Brasil",-20.5356207,-49.3242102,São Paulo,
2,2024-04-01,ELEKTRO REDES S.A.,540,PE-00385-0010/2000,Eficientização Energética,Industrial,397253.78,0.36,397253.78,230.0,,Não apresentou RF. Não são calculados o RIRP e o REL.,1999-01-01,2000-12-31,,3.607413226523052,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
3,2024-04-01,ELEKTRO REDES S.A.,635,PE-00385-0017/2001,Eficientização Energética,Industrial,378229.26,0.36,378229.26,87.49,,Não apresentou RF. A RCB uiliza 12%.,2000-01-01,2001-12-31,,3.6064937988488763,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
4,2024-04-01,ELEKTRO REDES S.A.,596,PE-00385-0014/2006,Eficientização Energética,Industrial,577224.39,0.36,577224.39,128.61,,Projeto a ser compensado no ciclo 2000/2001,2005-01-01,2006-12-31,,3.6064713250345815,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
5,2024-04-01,ELEKTRO REDES S.A.,765,PE-00385-0019/2003,Eficientização Energética,Industrial,484792.0,0.81,484792.0,86.6,,Não apresentou RF.,2002-01-01,2003-12-31,,3.6063544926264948,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
6,2024-04-01,ELEKTRO REDES S.A.,595,PE-00385-0013/2000,Eficientização Energética,Industrial,661617.46,0.36,661617.46,69.7,,Projeto a ser compensado no ciclo 2000/2001,1999-01-01,2000-12-31,,3.6061606961415484,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
7,2024-04-01,ELEKTRO REDES S.A.,765,PE-00385-0019/2003,Eficientização Energética,Industrial,484792.0,0.36,332355.28,75.0,,Não apresentou RF.,2002-01-01,2003-12-31,,2.7747283133542036,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
8,2024-04-01,COPEL DISTRIBUICAO S.A.,240,PE-02866-0073/2006,Eficientização Energética no Campus Universitário do Centro Politécnico da Universidade Federal do Paraná,Poder Público,2917.68,0.61,349.96,87.02,,"A ANEEL, através do Ofício nº 107/2007-SPE/ANEEL autorizou a reapresentação destes Projetos, a transferência de seus percentuais para o Ciclo 2006/2007 com aproveitamento das metas físicas e financeiras já realizadas.",2005-01-01,2006-12-31,,1.3573566515884532,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
9,2024-04-01,COMPANHIA PAULISTA DE FORÇA E LUZ,1573,PE-00063-0072/2006,Implantação de Sistemas de Gestão de Redes de Distribuição - GIS,Pelo Lado da Oferta/Perdas,624750.0,0.0,64000.0,15200.0,,,2005-01-01,2006-12-31,,1.2965347873168822,"Companhia Paulista de Força e Luz, Avenida Sete de Setembro, Vila Pavani, Nova Granada, Região Imediata de São José do Rio Preto, Região Metropolitana de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15440-000, Brasil",-20.5356207,-49.3242102,São Paulo,
10,2024-04-01,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,1426,PE-00047-0083/2000,Diagnóstico Energético nas Indústrias,Industrial,260000.0,,25300.0,2730.0,,,1999-01-01,2000-12-31,,1.2463850777242065,"Companhia de Eletricidade do Estado da Bahia, Avenida Doutor Guilherme Dias, Ginásio Industrial, Brumado, Região Geográfica Intermediária de Vitória da Conquista, Bahia, Região Nordeste, 46100-970, Brasil",-14.207599649999999,-41.669760408092785,Bahia,
