NomAgente,DscTipologia,DatInicioProjeto,DatConclusaoProjeto,UF,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,Score
AES ELETROPAULO,Baixa Renda,2013-01-07,2016-12-16,São Paulo,0.0,0.67,63110.28,13747.58,0.0
AES ELETROPAULO,Poder Público,2014-07-04,2015-08-24,São Paulo,0.0,0.81,756.71,212.55,0.0
AES ELETROPAULO,Residencial,2012-07-05,2016-07-31,São Paulo,0.0,0.74,13157.18,2794.33,0.0
AES ELETROPAULO,Residencial,2013-01-03,2016-04-05,São Paulo,0.0,0.25,62853.72,13306.77,0.0
AES SUL,Baixa Renda,2013-02-20,2014-11-30,Rio Grande do Sul,0.0,0.04,670.35,259.72,0.0
AES SUL,Baixa Renda,2014-03-19,2014-11-30,Rio Grande do Sul,0.0,0.2,257.94,113.72,0.0
AMPLA,Baixa Renda,2013-01-02,2013-12-14,Pernambuco,0.0,0.71,645.5,429.49,0.0
AMPLA,Baixa Renda,2013-03-25,2014-01-01,Pernambuco,0.0,0.22,21816.8,5973.2,0.0
AMPLA,Poder Público,2013-11-07,2015-06-17,Pernambuco,0.0,0.79,104.35,19.52,0.0
AMPLA,Residencial,2012-07-01,2013-12-04,Pernambuco,0.0,0.55,1305.71,575.73,0.0
AMPLA,Residencial,2012-11-26,2013-02-18,Pernambuco,0.0,0.62,3388.01,977.13,0.0
AMPLA,Residencial,2014-01-01,2015-01-30,Pernambuco,0.0,0.69,725.9,357.51,0.0
BANDEIRANTE,Baixa Renda,2008-06-17,2009-12-17,Santa Catarina,0.0,0.58,6508.4,4330.44,0.0
BANDEIRANTE,Baixa Renda,2009-10-13,2011-08-31,Santa Catarina,0.0,0.41,8672.78,5049.0,0.0
BANDEIRANTE,Baixa Renda,2011-03-15,2013-05-30,Santa Catarina,0.0,0.77,7207.85,5740.19,0.0
BANDEIRANTE,Serviços Públicos,2014-12-01,2016-04-01,Santa Catarina,0.0,0.53,329.7,56.8,0.0
BOA VISTA ENERGIA,Baixa Renda,2010-06-30,2011-01-30,Roraima,0.0,41.46,481.8,38.5,0.0
