,DatGeracaoConjuntoDados,NomAgente,IdeEmpresaProponenteProjeto,DscCodProjeto,DscTituloProjeto,DscTipologia,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,DscObjetivo,DscJustificativa,DatInicioProjeto,DatConclusaoProjeto,DscMetodologiaMv,Score,Address,Latitude,Longitude,Estado,Capital
0,2024-04-01,COMPANHIA PAULISTA DE FORÇA E LUZ,8857,PE-00063-0176/2019,EE-00063-0176-Baixa Renda Paulista 2019-2020,Baixa Renda,0.0,0.33,16011.61,8124.48,"Implantar ações de instalação de aquecedores solares, substituição de lâmpadas, regularização de clandestinos e ações sociais",Cumprimento de exigência legal,2019-08-12,2023-08-10,Opção A PIMPV,3.2992356906914515,"Companhia Paulista de Força e Luz, Avenida Sete de Setembro, Vila Pavani, Nova Granada, Região Imediata de São José do Rio Preto, Região Metropolitana de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15440-000, Brasil",-20.5356207,-49.3242102,São Paulo,
1,2024-04-01,COPEL DISTRIBUIÇÃO SA,11949,PE-02866-0274/2019,PEE_2019_Bônus Eletrodomésticos Eficientes,Residencial,0.0,0.56,17407.07,4704.76,"Combater o desperdício de energia elétrica em 48.000 unidades consumidoras, localizadas nos municípios da área de concessão da Copel Distribuição.",,2019-12-17,2023-07-28,"O projeto será avaliado através da medição de um dos fatores de influência para o uso final em estudo (iluminação, refrigeração e climatização), devendo ser determinados, por meio de cálculos, os ganhos de energia e/ou demanda, através das substituições realizadas nos usos finais citados. Esta metodologia está em conformidade com a opção A do PIMVP - Protocolo Internacional de Medição e Verificação de Performance. O tamanho da amostra será baseado na metodologia definida no PROPEE, para o nível de confiabilidade e precisão definidos (95/10), sendo que o tamanho estimado da amostra para avaliação das lâmpadas é de até 384 (antes e após) e dos refrigeradores e ares condicionados de até 1028 (antes e após).",3.1044445927073063,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
2,2024-04-01,CELESC DISTRIBUIÇÃO SA,8098,PE-05697-0065/2019,Bônus Eficiente VI,Residencial,0.0,0.72,8587.94,1584.97,"Subsidio de 50% na aquisição de geladeiras, freezers e condicionadores de ar e substituição gratuita de lâmpadas Led",Amostragem conforme Guia de M&V da Aneel.,2019-07-03,2021-08-13,"Opção A para as lâmpadas com medição instantânea de potência e estimativa de tempo de uso ,e Opção B para geladeiras, freezers e condicionadores de ar com medição de consumo por 07 dias antes e depois da ação de eficiência energética.",1.9555826206558535,"Celesc Distribuição S.A., 2987, Jardim América, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89803-903, Brasil",-27.09851365,-52.64486742525156,Santa Catarina,Chapecó
3,2024-04-01,ELEKTRO REDES SA,8044,PE-00385-0069/2018,Eficiência Energética em clientes de baixo poder aquisitivo,Baixa Renda,0.0,0.18,6845.45,1524.27,Conscientização sobre o uso racional e eficiente de energia elétrica e substituição de equipamentos ineficientes por equipamentos mais eficientes,Estaremos realizando medições individuais de um grupo do clientes que possuem a mesma característica de consumo,2018-09-13,2020-09-30,,1.7820647128900373,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
4,2024-04-01,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,8275,PE-00047-0125/2019,KORDSA DO BRASIL,Industrial,0.0,0.14,7172.76,841.31,Automação do sistema de climatização e redução do consumo de energia e demanda na ponta,,2019-09-16,2021-03-16,"Serão utilizadas metodologias prescritas no Guia de M&V da ANEEL, e em sua ausência no PIMVP. Serão utilizadas as opções A (iluminação) e B (climatização).",1.74784111809586,"Companhia de Eletricidade do Estado da Bahia, Avenida Doutor Guilherme Dias, Ginásio Industrial, Brumado, Região Geográfica Intermediária de Vitória da Conquista, Bahia, Região Nordeste, 46100-970, Brasil",-14.207599649999999,-41.669760408092785,Bahia,
5,2024-04-01,CELESC DISTRIBUIÇÃO SA,9465,PE-05697-0063/2019,"Sou Legal, Tô Ligado! 3",Baixa Renda,0.0,0.61,4989.7,2293.39,"Proporcionar economia de energia e redução de demanda na ponta a consumidores residenciais baixa renda, com a instalação de trocadores de calor, substituição de chuveiros elétricos, refrigeradores e lâmpadas, além da regularização de consumidores através da instalação de padrões de entrada.","Será retirada um amostra para medição pré a pós das lâmpadas, refrigeradores e chuveiros elétricos de forma a garantir a precisão e confiabilidade exigidas no PROPEE.",2019-03-13,2023-12-13,Opção A para as lâmpadas e opção B para os refrigeradores e para os trocadores de calor.,1.6775001555690845,"Celesc Distribuição S.A., 2987, Jardim América, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89803-903, Brasil",-27.09851365,-52.64486742525156,Santa Catarina,Chapecó
6,2024-04-01,CELESC DISTRIBUIÇÃO SA,8257,PE-05697-0042/2017,Bônus Eficiente IV - Linha Eletrodomésticos,Residencial,0.0,0.56,4428.17,1365.03,"Subsidio de 50% na aquisição de geladeiras, freezers e condicionadores de ar e substituição gratuita de lâmpadas Led",Amostragem conforme Guia de M&V da Aneel.,2017-09-01,2019-01-08,"Opção A para as lâmpadas com medição instantânea de potência e estimativa de tempo de uso ,e Opção B para geladeiras, freezers e condicionadores de ar com medição de consumo por 07 dias antes e depois da ação de eficiência energética.",1.5341305741044513,"Celesc Distribuição S.A., 2987, Jardim América, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89803-903, Brasil",-27.09851365,-52.64486742525156,Santa Catarina,Chapecó
7,2024-04-01,ELEKTRO REDES SA,11956,PE-00385-0072/2019,Projeto de Iluminação Pública LED 2019,Iluminação Pública,0.0,0.76,4842.41,930.81,Implementação de tecnologia LED em sistemas de iluminação pública,Será estimado o tempo de utilização e medido as potências das luminárias,2019-06-17,2024-04-17,,1.5322079326761153,"Tecnologia Avanzada en Redes. S.A, Carretera a San José Pinula, Condominio Cañadas del Pajon 2, Fraijanes, Santa Catarina Pinula, Departamento de Guatemala, 01052, Guatemala",14.5442807,-90.44272761967392,Departamento de Guatemala,
8,2024-04-01,CELESC DISTRIBUIÇÃO SA,8319,PE-05697-0062/2018,Bônus Eficiente V,Residencial,0.0,0.69,4016.68,944.06,"Subsidio de 50% na aquisição de geladeiras, freezers e condicionadores de ar e substituição gratuita de lâmpadas Led",Amostragem conforme Guia de M&V da Aneel.,2018-06-28,2020-06-30,"Opção A para as lâmpadas com medição instantânea de potência e estimativa de tempo de uso ,e Opção B para geladeiras, freezers e condicionadores de ar com medição de consumo por 07 dias antes e depois da ação de eficiência energética.",1.4540243637224441,"Celesc Distribuição S.A., 2987, Jardim América, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89803-903, Brasil",-27.09851365,-52.64486742525156,Santa Catarina,Chapecó
9,2024-04-01,CELESC DISTRIBUIÇÃO SA,8399,PE-05697-0032/2016,Residencia Fotovoltaica 1,Residencial,0.0,0.49,4627.93,126.66,"Promover ações de eficiência energética nas instalações dos clientes, a partir da substituição de lâmpadas incandescentes e fluorescentes compactas por lâmpadas LED e do subsidio na instalação de sistemas fotovoltaicos, visando economia de energia elétrica e redução de demanda no posto tarifário ponta.",Não se aplica,2016-05-30,2020-03-04,"- Iluminação: Opção A do PIMVP. No momento do diagnóstico será utilizado alicate volt-amperímetro para medição instantânea de corrente e tensão do sistema de iluminação antes e após o retrofit. O tempo será estimado, conforme orientação do consumidor. Amostragem: 94 pontos de iluminação.- Sistemas Fotovoltaicos: Opção B do PIMVP. Medição de 365 dias após a instalação do equipamento. Amostragem: 88 sistemas fotovoltaicos.",1.4341868997358853,"Celesc Distribuição S.A., 2987, Jardim América, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89803-903, Brasil",-27.09851365,-52.64486742525156,Santa Catarina,Chapecó
